world,scenario_id,condition,system,channel,run_idx,episode_id,valid,censored,hit_cap_sim_steps,hit_cap_wallclock,termination_reason,duration_s,ticks,wallclock_s,turns,agent_turns,user_turns,turn_taking,conv_progression,selectivity,n_distractors_injected,n_distractors_ignored,prd,efficiency,optimal_blocks,blocks_walked,pass_at_1,over_ratio,under_ratio,budget_side,faithfulness,dnsmos,utmos,nisqa,speech_complexity_preset,agent_model_id,decision_model_arm,ideal_tool_calls,actual_tool_calls,conditional_pop_note,conv_progression_raw13,faithfulness_raw13,conv_progression_pass_gate,faithfulness_pass_gate
nyc_geo,geo_f_errand_i2,errand,gpt-realtime-2.1-mini,realistic,2,5944aa5f-0e23-414d-9f29-ff1a403f7333,1,1,1,0,max_steps,1200.2,6001,2857.1,278,139,139,0.0,0.0,0.6,15,9,0,,11,24,0,3.8462,,over,0.0,3.391,4.116,3.719,regular,openai:gpt-realtime-2.1-mini,luna,13,50,,1,1,0,0
nyc_geo,geo_f_errand_i2,errand,gpt-realtime-2.1-mini,realistic,3,1353f7aa-5ec1-495e-89c0-ff326456841a,1,1,1,0,max_steps,1200.2,6001,3102.1,166,83,83,0.0,0.0,0.5714,7,4,0,,5,27,0,10.0,,over,0.0,3.359,4.176,3.77,regular,openai:gpt-realtime-2.1-mini,luna,6,60,,1,1,0,0
nyc_geo,geo_f_errand_i2,errand,gpt-realtime-2.1-mini,realistic,4,b835d107-e1d8-43d6-add2-50630033b002,1,1,1,0,max_steps,1200.2,6001,2987.7,213,107,106,0.7194,0.0,0.5625,16,9,0,,5,26,0,7.5,,over,0.0,3.353,4.194,3.811,regular,openai:gpt-realtime-2.1-mini,luna,6,45,,1,1,0,0
nyc_geo,geo_f_errand_i3,errand,gpt-realtime-2.1-mini,realistic,0,4f9af416-dddf-4888-9340-e68558b18b4a,1,1,1,0,max_steps,1200.2,6001,3090.9,795,398,397,0.4941,0.0,0.5789,19,11,0,,11,19,0,2.75,,over,0.0,3.327,4.175,3.68,regular,openai:gpt-realtime-2.1-mini,luna,12,33,,1,1,0,0
nyc_geo,geo_f_errand_i3,errand,gpt-realtime-2.1-mini,realistic,1,e6658638-f469-4db4-b39e-4e5a1532e5e3,1,1,1,0,max_steps,1200.2,6001,2375.6,222,111,111,0.0,0.0,0.8571,21,18,0,,5,3,0,3.3333,,over,0.0,3.178,3.922,3.425,regular,openai:gpt-realtime-2.1-mini,luna,6,20,,1,1,0,0
nyc_geo,geo_f_errand_i3,errand,gpt-realtime-2.1-mini,realistic,2,2a066900-18b3-475d-b1a5-367c733b9037,1,1,1,0,max_steps,1200.2,6001,2930.9,493,247,246,0.5428,0.0,0.7273,11,8,0,,11,14,0,1.75,,over,0.0,3.34,4.181,3.761,regular,openai:gpt-realtime-2.1-mini,luna,12,21,,1,1,0,0
nyc_geo,geo_f_errand_i3,errand,gpt-realtime-2.1-mini,realistic,3,bcf2493a-c364-4dae-946a-2da098619925,1,1,1,0,max_steps,1200.2,6001,3113.5,794,397,397,0.0,0.0,0.6923,13,9,0,,5,19,0,6.5,,over,0.0,3.345,4.149,3.666,regular,openai:gpt-realtime-2.1-mini,luna,6,39,,1,1,0,0
nyc_geo,geo_f_errand_i3,errand,gpt-realtime-2.1-mini,realistic,4,6013d8b4-6677-474b-a3f8-833c9ae8268f,1,1,1,0,max_steps,1200.2,6001,3039.2,630,315,315,0.0,0.0,0.6,15,9,0,,11,18,0,2.6667,,over,0.0,3.344,4.149,3.683,regular,openai:gpt-realtime-2.1-mini,luna,12,32,,1,1,0,0
nyc_geo,geo_a_base_i1,base,xai-realtime,clean,0,7bd26f5a-8068-41ad-be82-ae54862f34f2,1,0,0,0,user_stop,306.0,1530,402.0,45,22,23,0.8719,0.5,,,,1,1.0,5,5,1,,0.8571,under,0.5,3.078,3.862,3.072,control,xai:xai-realtime,luna,7,6,,2,2,1,1
nyc_geo,geo_a_base_i1,base,xai-realtime,clean,1,f77c21a9-4b21-4582-8875-78c0ed158f12,1,0,0,0,user_stop,320.2,1601,431.1,57,28,29,0.7447,0.0,,,,1,1.0,5,5,1,,0.7143,under,0.0,3.09,3.936,3.195,control,xai:xai-realtime,luna,7,5,,1,1,0,0
